,Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?,Period
925,BottomS082286,32.8795,-23.6474,4.051e-17,3.037e-17,1.255e-17,-0.0,-8.92,1,24.09223429631593
926,BottomS082287,33.2324,-23.8929,1.736e-17,1.347e-17,5.949e-18,0.0,-13.5,1,27.470534904805074
927,BottomS082305,32.8642,-23.6275,1.174e-13,8.941e-14,3.631e-14,-0.0,-8.63,1,41.98614318706697
928,BottomS082511,34.9013,-20.4443,1.11e-13,8.742e-14,3.789e-14,-0.0,-8.47,1,42.06385932438686
929,BottomS082761,34.8733,-20.4625,1.948e-17,1.536e-17,6.901e-18,0.0,-6.73,1,26.981300089047195
930,BottomS082763,34.8839,-20.4433,1.182e-13,9.866e-14,4.895e-14,0.0,-7.39,1,43.43048256091734
931,BottomS082790,34.9079,-20.4658,1.086e-13,8.547e-14,3.812e-14,-0.0,-6.39,1,44.536991670749636
932,BottomS082815,34.8671,-20.4511,2.688e-17,2.026e-17,8.605e-18,0.0,-6.89,1,26.023475522473518
933,BottomS082850,34.9198,-20.4319,7.197e-14,6.995e-14,4.818e-14,-0.0,-8.37,1,45.97875569044005
934,BottomS082868,34.8929,-20.4844,4.224e-17,3.198e-17,1.32e-17,0.0,-6.41,1,24.117803130803924
935,BottomS082907,34.8779,-20.4191,2.187e-17,1.649e-17,6.902e-18,-0.001,-8.39,1,25.993708893337146
936,BottomS082909,34.9131,-20.4843,9.844e-14,8.271e-14,4.193e-14,0.0,-6.81,1,44.536991670749636
937,BottomS082962,34.8573,-20.397,2.626e-17,2.061e-17,9.234e-18,-0.001,-8.33,1,24.775143090760427
938,BottomS082973,34.8689,-20.382,1.406e-17,1.137e-17,5.141e-18,-0.001,-8.48,1,25.84589138470287
939,BottomS082987,34.8749,-20.3966,4.574e-14,4.728e-14,3.602e-14,0.001,-8.55,1,47.220779220779214
940,BottomS083001,34.8606,-20.3872,1.556e-17,1.202e-17,5.283e-18,-0.0,-8.49,1,26.696035242290748
941,BottomS083061,34.9551,-20.5353,1.268e-13,9.63e-14,4.014e-14,-0.0,-6.76,1,41.75470831419384
942,BottomS083065,34.9395,-20.5326,2.117e-17,1.605e-17,6.716e-18,-0.0,-6.73,1,26.727433107909437
943,BottomS083085,34.8981,-20.443,1.143e-13,8.746e-14,3.68e-14,0.0,-0.18,1,43.513642891335564
944,BottomS083096,34.8982,-20.4431,4.11e-17,3.121e-17,1.305e-17,-0.0,-6.48,1,23.715105661361857
945,BottomS083100,34.8981,-20.4431,2.092e-17,1.566e-17,6.511e-18,0.001,-4.12,1,27.70496799756172
946,BottomS083114,34.8312,-20.3559,1.293e-17,1.006e-17,4.344e-18,-0.001,-8.57,1,28.15113038092289
947,BottomS083122,34.9794,-20.5209,4.493e-14,3.511e-14,1.547e-14,0.001,-7.1,1,47.81693845344555
948,BottomS083132,34.9983,-20.5141,3.104e-17,2.423e-17,1.033e-17,-0.0,-7.41,1,27.272727272727273
949,BottomS083140,35.0054,-20.4937,2.854e-17,2.173e-17,9.385e-18,-0.0,-7.77,1,24.775143090760427
950,BottomS083165,35.034,-20.421,1.34e-13,1.204e-13,7.047e-14,-0.0,-8.5,1,41.224489795918366
951,BottomS083167,34.7624,-20.4759,1.926e-17,1.471e-17,6.287e-18,-0.001,-6.92,1,26.386066763425255
952,BottomS083169,35.0251,-20.4096,3.027e-17,2.36e-17,1.011e-17,-0.0,-8.48,1,23.939952594153276
953,BottomS083185,34.9984,-20.3418,4.632e-17,3.626e-17,1.625e-17,-0.0,-9.04,1,24.041258926209995
954,BottomS083191,34.8201,-20.5648,1.037e-17,7.957e-18,3.266e-18,0.001,-6.31,1,27.637579811492852
955,BottomS083206,34.9879,-20.5266,1.347e-17,1.042e-17,4.457e-18,-0.0,-7.2,1,28.976729359260435
956,BottomS083245,35.0218,-20.4386,2.881e-17,2.198e-17,9.116e-18,-0.001,-8.19,1,25.075862068965517
957,BottomS083260,34.759,-20.5005,1.862e-17,1.407e-17,5.874e-18,0.001,-6.87,1,26.727433107909437
958,BottomS083274,35.0012,-20.3278,1.548e-17,1.219e-17,5.299e-18,0.0,-9.06,1,28.081556997219646
959,BottomS083364,28.134,-25.3579,1.167e-13,9.495e-14,4.639e-14,0.0,-16.82,1,43.18289786223278
960,BottomS083425,28.1237,-25.3263,9.996e-14,8.096e-14,3.791e-14,-0.0,-15.32,1,44.01937046004842
961,BottomS083580,28.1149,-25.3375,9.916e-14,8.593e-14,4.64e-14,0.001,-16.69,1,43.59712230215827
962,BottomS083638,28.086,-25.3155,2.889e-17,2.262e-17,1.006e-17,-0.0,-16.0,1,25.787234042553187
963,BottomS083684,28.1164,-25.3564,2.284e-17,1.732e-17,7.105e-18,-0.0,-16.86,1,24.829281617044522
964,BottomS083704,28.1112,-25.3455,3.915e-14,3.092e-14,1.418e-14,0.0,-16.52,1,50.58430717863105
965,BottomS083710,28.1505,-25.3296,1.334e-17,1.049e-17,4.598e-18,0.001,-14.88,1,27.977839335180054
966,BottomS083762,28.1062,-25.3583,8.118e-14,7.124e-14,3.893e-14,0.001,-16.88,1,44.62444771723122
967,BottomS083910,28.1339,-25.3366,6.252e-14,4.943e-14,2.196e-14,-0.0,-13.81,1,47.51698902247779
968,BottomS083919,28.134,-25.3369,1.839e-17,1.421e-17,6.171e-18,0.001,-19.94,1,25.81652939505822
969,BottomS083930,28.0586,-25.384,1.442e-17,1.085e-17,4.514e-18,-0.0,-17.14,1,27.70496799756172
970,BottomS083936,28.2102,-25.2791,1.34e-17,1.051e-17,4.591e-18,0.0,-14.23,1,26.696035242290748
971,BottomS083948,28.0668,-25.412,3.247e-17,2.514e-17,1.085e-17,0.0,-17.29,1,24.143426294820713
972,BottomS083951,28.0673,-25.4202,1.872e-17,1.477e-17,6.634e-18,0.001,-17.22,1,26.75890491610244
973,BottomS083966,28.1746,-25.2238,5.17e-14,5.238e-14,3.822e-14,-0.001,-14.04,1,46.44864588656106
974,BottomS083999,28.0689,-25.2165,2.702e-17,2.057e-17,8.692e-18,0.0,-14.81,1,25.15914752283421
975,BottomS084000,28.0611,-25.2143,1.497e-17,1.185e-17,5.346e-18,0.0,-15.02,1,26.3249348392702
976,BottomS084003,28.2146,-25.4421,2.603e-17,2.015e-17,8.533e-18,-0.0,-16.36,1,25.87532023911187
977,BottomS084025,27.9994,-25.3325,2.476e-17,1.905e-17,8.068e-18,-0.0,-16.52,1,25.96401028277635
978,BottomS084029,27.9917,-25.3659,1.718e-17,1.341e-17,5.749e-18,-0.001,-16.8,1,26.88553682342502
979,BottomS084048,28.2165,-25.184,2.748e-17,2.126e-17,9.083e-18,-0.0,-13.96,1,24.69437652811736
980,BottomS084052,28.1771,-25.1565,2.084e-17,1.613e-17,7.069e-18,0.0,-13.98,1,26.023475522473518
981,BottomS084054,28.1591,-25.1498,2.456e-17,1.887e-17,8.016e-18,-0.0,-14.19,1,24.748162265178326
982,BottomS084057,28.1417,-25.5358,2.314e-17,1.745e-17,7.386e-18,-0.0,-17.18,1,26.294474978304887
983,BottomS084085,28.0693,-25.4062,1.048e-17,8.25e-18,3.655e-18,0.0,-17.32,1,25.934379457917263
984,BottomS084087,28.1828,-25.2701,1.385e-17,1.071e-17,4.728e-18,-0.0,-14.21,1,26.355465352276024
985,BottomS084096,28.08,-25.4285,5.5e-17,4.223e-17,1.722e-17,-0.0,-17.2,1,23.349601849473412
986,BottomS084100,28.0697,-25.4279,8.5e-14,7.001e-14,3.388e-14,-0.0,-17.29,1,44.88888888888889
987,BottomS084107,28.1864,-25.2456,1.344e-17,1.024e-17,4.395e-18,-0.0,-14.11,1,26.790450928381965
988,BottomS084111,28.0907,-25.4505,8.865e-18,6.914e-18,2.934e-18,0.0,-17.37,1,27.671232876712324
989,BottomS084174,28.2321,-25.4134,8.102e-14,6.156e-14,2.562e-14,0.001,-15.95,1,44.62444771723122
990,BottomS084180,28.2499,-25.4063,9.155e-14,7.169e-14,3.187e-14,0.001,-15.57,1,43.100995732574674
991,BottomS084185,28.2588,-25.3937,2.1e-17,1.596e-17,6.635e-18,0.001,-15.49,1,26.173337172473364
992,BottomS084192,28.2753,-25.3567,3.547e-17,2.678e-17,1.125e-17,0.001,-14.91,1,24.324324324324323
993,BottomS084226,28.2341,-25.184,1.591e-17,1.226e-17,5.21e-18,-0.0,-13.87,1,26.083213773314206
994,BottomS084229,28.0581,-25.5046,1.689e-17,1.311e-17,5.785e-18,0.001,-17.44,1,27.637579811492852
995,BottomS084253,28.2183,-25.4904,1.02e-17,7.878e-18,3.396e-18,-0.0,-16.55,1,27.806668706026304
996,BottomS084294,35.7017,-21.4525,8.835e-14,7.204e-14,3.341e-14,0.001,-12.78,1,44.62444771723122
997,BottomS084409,35.6315,-21.4473,9.668e-14,7.679e-14,3.606e-14,-0.0,-12.35,1,45.8859162039374
998,BottomS084552,35.6756,-21.4113,5.252e-20,6.395e-20,7.08e-20,0.001,-13.34,1,3.1777661248033557
999,BottomS084593,35.6827,-21.4477,1.228e-13,9.556e-14,4.246e-14,0.0,-12.75,1,41.52581087254454
1000,BottomS084654,35.6504,-21.3967,9.074e-14,7.783e-14,4.043e-14,-0.0,-13.02,1,45.33665835411471
1001,BottomS084663,35.6866,-21.4882,8.162e-14,7.584e-14,4.568e-14,0.001,-12.52,1,44.276668290306866
1002,BottomS084666,35.6841,-21.4739,9.704e-14,8.451e-14,4.592e-14,0.001,-12.46,1,42.61603375527426
1003,BottomS084679,35.6527,-21.3951,1.01e-17,7.786e-18,3.331e-18,0.001,-13.16,1,28.647967223447843
1004,BottomS084693,35.654,-21.3854,5.505e-14,5.519e-14,3.985e-14,0.0,-13.06,1,45.2463912394226
1005,BottomS084694,35.6869,-21.4837,1.02e-13,8.223e-14,3.944e-14,-0.0,-12.22,1,43.100995732574674
1006,BottomS084695,35.6646,-21.3934,9.301e-14,7.11e-14,2.953e-14,0.0,-13.21,1,42.77647058823529
1007,BottomS084697,35.7011,-21.481,1.817e-17,1.357e-17,5.597e-18,-0.001,-12.31,1,27.43736794446121
1008,BottomS084716,35.637,-21.4125,1.749e-17,1.325e-17,5.497e-18,-0.0,-12.9,1,27.33834586466165
1009,BottomS084826,35.6202,-21.3337,7.402e-14,5.765e-14,2.519e-14,0.0,-13.29,1,44.276668290306866
1010,BottomS084852,35.7137,-21.5282,2.689e-17,2.058e-17,8.731e-18,-0.0,-12.33,1,26.664711058961572
1011,BottomS084884,35.7363,-21.5391,5.025e-17,3.84e-17,1.597e-17,-0.0,-12.57,1,22.92559899117276
1012,BottomS084887,35.6006,-21.3329,1.701e-17,1.325e-17,5.888e-18,0.0,-13.08,1,25.49789621318373
1013,BottomS084888,35.7481,-21.5454,1.203e-17,9.451e-18,4.094e-18,0.0,-12.64,1,26.727433107909437
1014,BottomS084892,35.5817,-21.3293,1.139e-17,8.755e-18,3.897e-18,0.0,-13.15,1,25.584013509710104
1015,BottomS084894,35.5883,-21.3452,1.183e-17,9.184e-18,3.932e-18,-0.0,-13.05,1,27.43736794446121
1016,BottomS084901,35.7728,-21.534,9.157e-14,7.29e-14,3.313e-14,-0.0,-12.69,1,44.276668290306866
1017,BottomS084903,35.7837,-21.5284,2.778e-17,2.151e-17,9.241e-18,-0.0,-12.55,1,24.99312620291449
1018,BottomS084905,35.5549,-21.3562,3.887e-17,2.976e-17,1.244e-17,-0.001,-12.92,1,25.075862068965517
1019,BottomS084909,35.5455,-21.3516,6.803e-14,5.388e-14,2.508e-14,-0.001,-12.82,1,44.88888888888889
1020,BottomS084912,35.8033,-21.5217,1.031e-17,8.256e-18,3.713e-18,0.0,-12.5,1,27.045522166022014
1021,BottomS084923,35.5289,-21.3865,1.603e-17,1.25e-17,5.39e-18,0.0,-12.63,1,26.790450928381965
1022,BottomS084924,35.531,-21.3896,2.938e-17,2.225e-17,9.45e-18,0.001,-12.85,1,24.455205811138015
1023,BottomS084927,35.8279,-21.4814,1.79e-17,1.419e-17,6.247e-18,0.0,-12.79,1,24.80218281036835
1024,BottomS084928,35.5191,-21.4014,3.251e-17,2.496e-17,1.032e-17,-0.001,-12.68,1,23.914759273875294
1025,BottomS084938,35.8291,-21.437,2.318e-17,1.816e-17,8.236e-18,-0.0,-13.0,1,24.910934502603453
1026,BottomS084954,35.7927,-21.3573,1.433e-17,1.089e-17,4.464e-18,0.0,-13.3,1,27.305497146290175
1027,BottomS084960,35.5703,-21.5491,2.929e-17,2.2e-17,9.245e-18,-0.0,-12.32,1,23.864531373063794
1028,BottomS084966,35.7289,-21.2881,2.968e-17,2.301e-17,9.909e-18,-0.001,-13.47,1,24.324324324324323
1029,BottomS084972,35.6639,-21.6102,2.278e-17,1.728e-17,7.228e-18,-0.0,-12.16,1,27.17488789237668
1030,BottomS084982,35.7442,-21.6209,3.338e-17,2.592e-17,1.135e-17,-0.0,-12.39,1,24.246465724193115
1031,BottomS084997,35.8703,-21.5552,1.753e-17,1.327e-17,5.597e-18,0.0,-12.67,1,27.33834586466165
1032,BottomS085000,35.8993,-21.5324,2.53e-17,1.926e-17,8.251e-18,-0.0,-12.7,1,26.023475522473518
1033,BottomS085005,35.9104,-21.4775,3.028e-17,2.352e-17,1.003e-17,0.0,-13.07,1,24.143426294820713
1034,BottomS085058,35.5533,-21.3763,1.562e-17,1.226e-17,5.366e-18,-0.0,-12.84,1,25.699745547073793
1035,BottomS085060,35.5428,-21.3819,1.791e-17,1.418e-17,6.458e-18,0.0,-12.77,1,25.242988058872534
1036,BottomS085102,35.5119,-21.4774,1.74e-17,1.334e-17,5.713e-18,0.0,-12.45,1,26.54014598540146
1037,BottomS085138,35.6592,-21.5981,2.618e-17,1.962e-17,8.03e-18,-0.0,-12.01,1,26.727433107909437
1038,BottomS085147,35.7037,-21.6115,1.778e-17,1.39e-17,5.979e-18,0.0,-12.31,1,25.787234042553187
1039,BottomS085172,35.4769,-21.2809,1.631e-17,1.259e-17,5.479e-18,0.0,-12.99,1,24.587503381119827
1040,BottomS085173,35.4717,-21.2973,3.118e-17,2.354e-17,9.847e-18,0.001,-12.6,1,24.883657267998906
1041,BottomS085181,35.8813,-21.5058,1.681e-17,1.323e-17,5.724e-18,0.0,-12.63,1,26.416739319965124
1042,BottomS085193,35.849,-21.4132,1.968e-17,1.547e-17,6.925e-18,-0.0,-13.14,1,25.555243182457126
1043,BottomS085716,31.5101,-23.2704,4.368e-14,4.166e-14,2.79e-14,-0.001,-13.63,1,47.51698902247779
1044,BottomS085770,31.5171,-23.2885,1.304e-17,1.02e-17,4.5e-18,-0.0,-19.06,1,26.26408552441491
1045,BottomS085774,31.5174,-23.2884,1.87e-17,1.415e-17,5.906e-18,-0.0,-10.67,1,26.63346029885731
1046,BottomS085775,31.5176,-23.2884,9.176e-14,7.229e-14,3.4e-14,0.0,-4.88,1,44.71224790949336
1047,BottomS085790,31.5163,-23.292,1.821e-17,1.421e-17,6.207e-18,-0.0,-13.72,1,27.470534904805074
1048,BottomS085813,31.5679,-23.2761,1.654e-17,1.296e-17,5.54e-18,0.001,-12.12,1,26.3249348392702
1049,BottomS085822,31.5904,-23.2763,1.843e-17,1.449e-17,6.621e-18,-0.001,-11.85,1,25.271059216013345
1050,BottomS085837,31.3881,-23.3006,1.759e-17,1.372e-17,5.959e-18,-0.0,-15.41,1,26.790450928381965
1051,BottomS085852,31.6799,-23.2829,1.452e-17,1.104e-17,4.562e-18,0.001,-11.66,1,27.637579811492852
1052,BottomS085857,31.3565,-23.2883,7.101e-14,6.11e-14,3.331e-14,-0.0,-15.12,1,46.63930220625962
1053,BottomS085858,31.6871,-23.287,1.546e-17,1.187e-17,5.24e-18,0.0,-11.77,1,26.853766617429837
1054,BottomS085863,31.3569,-23.2841,2.896e-17,2.304e-17,1.053e-17,-0.001,-15.01,1,25.46931913701317
1055,BottomS085868,31.6777,-23.2965,4.463e-14,3.572e-14,1.617e-14,-0.001,-12.1,1,47.81693845344555
1056,BottomS085912,31.462,-23.2957,1.468e-17,1.124e-17,4.907e-18,-0.0,-15.0,1,27.045522166022014
1057,BottomS085947,31.624,-23.2801,2.762e-17,2.093e-17,8.496e-18,-0.001,-11.57,1,25.526537489469252
1058,BottomS085974,31.6626,-23.2819,1.286e-17,1.018e-17,4.663e-18,0.001,-11.63,1,27.37127371273713
1059,BottomS085985,31.3614,-23.2957,1.116e-17,8.74e-18,3.888e-18,-0.001,-15.33,1,27.272727272727273
1060,BottomS086001,31.6656,-23.2946,1.978e-17,1.521e-17,6.54e-18,0.0,-11.95,1,25.904816186947848
1061,BottomS086014,31.3558,-23.2797,1.031e-17,8.185e-18,3.742e-18,-0.0,-14.87,1,26.203516863649465
1062,BottomS086022,31.3666,-23.2775,1.441e-17,1.114e-17,4.794e-18,0.0,-14.72,1,26.571178018123355
1063,BottomS086031,31.6367,-23.3074,1.665e-17,1.287e-17,5.621e-18,0.0,-12.56,1,26.822071407494835
1064,BottomS112716,-26.3684,35.168,5.035e-19,5.22e-19,3.961e-19,0.001,47.84,1,2.808242454200006
1065,BottomS112938,-26.387,35.1633,3.041e-17,2.309e-17,9.899e-18,0.0,47.09,1,23.990498812351543
1066,BottomS113034,-26.3328,35.0857,1.398e-17,1.07e-17,4.467e-18,0.001,49.27,1,27.671232876712324
1067,BottomS113153,-26.4036,35.182,7.061e-14,5.802e-14,2.825e-14,-0.0,47.21,1,45.8859162039374
1068,BottomS113157,-26.3973,35.1953,1.001e-13,7.822e-14,3.448e-14,0.0,47.37,1,43.347639484978544
1069,BottomS113184,-26.3061,35.0651,1.506e-17,1.153e-17,4.973e-18,0.001,49.49,1,26.3249348392702
1070,BottomS113195,-26.3003,35.0428,1.498e-19,1.578e-19,1.297e-19,-0.001,49.19,1,6.282396848434583
1071,BottomS113209,-26.2914,35.0472,1.89e-17,1.484e-17,6.651e-18,0.0,49.57,1,27.73878547451938
1072,BottomS113234,-26.2744,35.0353,1.156e-17,8.815e-18,3.7e-18,-0.0,49.63,1,27.537109966676766
1073,BottomS113247,-26.2992,35.0525,5.242e-14,4.829e-14,3.015e-14,0.001,49.45,1,47.51698902247779
1074,BottomS113263,-26.4324,35.2245,1.672e-17,1.278e-17,5.147e-18,0.0,47.29,1,26.54014598540146
1075,BottomS113277,-26.4601,35.2338,1.612e-17,1.25e-17,5.508e-18,0.0,47.04,1,26.63346029885731
1076,BottomS113278,-26.2565,35.0266,1.701e-17,1.319e-17,6.021e-18,0.001,49.77,1,25.758005100595067
1077,BottomS113294,-26.2305,35.0411,1.397e-17,1.095e-17,4.883e-18,-0.0,50.0,1,26.917382291975123
1078,BottomS113309,-26.5039,35.1931,1.281e-17,9.821e-18,4.139e-18,-0.0,46.61,1,27.33834586466165
1079,BottomS113317,-26.2162,35.0896,1.59e-17,1.232e-17,5.49e-18,0.0,50.07,1,27.70496799756172
1080,BottomS113326,-26.5058,35.1421,4.005e-17,3.034e-17,1.245e-17,-0.0,46.85,1,23.990498812351543
1081,BottomS113327,-26.2145,35.1238,1.808e-17,1.405e-17,6.032e-18,0.001,49.85,1,26.88553682342502
1082,BottomS113329,-26.5027,35.1298,3.392e-17,2.542e-17,1.038e-17,-0.0,46.75,1,25.103562551781273
1083,BottomS113338,-26.4851,35.0895,7.173e-14,5.54e-14,2.358e-14,0.0,47.27,1,44.62444771723122
1084,BottomS113343,-26.4502,35.0654,3.87e-17,2.946e-17,1.226e-17,-0.0,47.53,1,24.272363150867825
1085,BottomS113348,-26.2867,35.2123,6.826e-14,5.327e-14,2.457e-14,0.0,48.95,1,45.2463912394226
1086,BottomS113351,-26.2979,35.229,1.033e-17,7.922e-18,3.379e-18,0.0,48.67,1,27.5705186533212
1087,BottomS113355,-26.3295,35.2478,2.335e-17,1.815e-17,7.891e-18,-0.0,48.57,1,24.938271604938272
1088,BottomS113367,-26.3043,34.972,2.075e-17,1.595e-17,6.802e-18,0.001,48.91,1,25.271059216013345
1089,BottomS113371,-26.2551,34.95,3.803e-17,2.904e-17,1.229e-17,-0.0,49.22,1,25.075862068965517
1090,BottomS113372,-26.2434,34.9417,3.393e-17,2.594e-17,1.078e-17,0.001,49.52,1,25.020644095788604
1091,BottomS113383,-26.5493,35.2798,1.183e-17,9.178e-18,3.947e-18,0.0,46.7,1,26.75890491610244
1092,BottomS113384,-26.1712,34.986,1.649e-17,1.285e-17,5.717e-18,0.0,50.18,1,25.29919287503479
1093,BottomS113389,-26.5687,35.2489,2.242e-17,1.737e-17,7.35e-18,0.001,46.67,1,25.020644095788604
1094,BottomS113398,-26.578,35.1697,1.928e-17,1.472e-17,6.154e-18,0.0,46.61,1,26.602282704126424
1095,BottomS113403,-26.5568,35.1084,1.89e-17,1.439e-17,5.997e-18,-0.0,46.83,1,28.903020667726548
1096,BottomS113406,-26.4501,35.2258,1.478e-17,1.143e-17,4.906e-18,-0.0,47.06,1,26.47829886396737
1097,BottomS113433,-26.4806,35.2203,2.175e-17,1.679e-17,7.304e-18,-0.0,46.73,1,26.173337172473364
1098,BottomS113439,-26.4753,35.1999,1.482e-17,1.176e-17,5.32e-18,0.0,46.63,1,26.917382291975123
1099,BottomS113475,-26.2432,35.099,1.159e-17,9.202e-18,3.983e-18,0.001,49.9,1,27.84073506891271
1100,BottomS113478,-26.5029,35.1637,1.841e-17,1.382e-17,5.698e-18,-0.0,46.68,1,25.728842343617323
1101,BottomS113485,-26.2189,35.1258,3.243e-17,2.435e-17,1.002e-17,-0.0,49.87,1,23.914759273875294
1102,BottomS113498,-26.47,35.0966,1.948e-17,1.531e-17,6.857e-18,0.0,46.97,1,24.910934502603453
1103,BottomS113568,-26.1601,35.0044,2.955e-17,2.29e-17,9.652e-18,-0.0,50.31,1,23.889618922470433
1104,BottomS113569,-26.1711,35.007,2.329e-17,1.806e-17,7.695e-18,-0.0,50.21,1,24.041258926209995
1105,BottomS113796,-27.5897,35.2382,1.527e-13,1.334e-13,7.279e-14,0.0,51.66,1,40.20344980097302
1106,BottomS113849,-27.5014,35.3589,6.114e-18,1.027e-17,2.12e-17,-0.0,53.48,1,2.27494556648397
1107,BottomS113948,-27.4894,35.3422,8.947e-14,8.532e-14,5.421e-14,-0.0,53.65,1,43.513642891335564
1108,BottomS113993,-27.4959,35.3573,7.061e-14,6.311e-14,3.612e-14,-0.0,53.88,1,45.2463912394226
1109,BottomS113994,-27.4603,35.3621,1.645e-17,1.271e-17,5.472e-18,-0.001,54.19,1,26.75890491610244
1110,BottomS114018,-27.5007,35.3482,1.179e-13,9.339e-14,4.292e-14,-0.001,53.23,1,41.299409359382096
1111,BottomS114020,-27.5015,35.3724,6.972e-14,5.554e-14,2.533e-14,0.0,53.45,1,46.353901070882195
1112,BottomS114061,-27.5038,35.31,1.977e-17,1.517e-17,6.371e-18,-0.0,52.01,1,25.584013509710104
1113,BottomS114069,-27.4838,35.3164,5.254e-14,4.139e-14,1.844e-14,0.001,52.89,1,46.83153013910355
1114,BottomS114075,-27.5241,35.3854,7.713e-14,5.838e-14,2.425e-14,0.001,53.23,1,44.36310395314788
1115,BottomS114090,-27.4367,35.3237,2.04e-17,1.56e-17,6.57e-18,-0.001,53.8,1,25.327389244915018
1116,BottomS114091,-27.5154,35.3525,1.03e-13,7.753e-14,3.192e-14,0.0,52.29,1,43.18289786223278
1117,BottomS114092,-27.5482,35.3261,9.209e-14,8.357e-14,5.042e-14,-0.001,51.69,1,43.347639484978544
1118,BottomS114113,-27.5459,35.3309,7.463e-14,6.44e-14,3.511e-14,-0.001,51.99,1,45.60963371801304
1119,BottomS114134,-27.5398,35.318,1.587e-17,1.261e-17,5.573e-18,-0.0,51.87,1,28.186046511627907
1120,BottomS114140,-27.5254,35.3302,5.276e-14,4.578e-14,2.503e-14,0.0,52.07,1,48.428343100692594
1121,BottomS114186,-27.5359,35.298,2.015e-17,1.568e-17,6.988e-18,0.001,51.75,1,26.3249348392702
1122,BottomS114237,-27.5874,35.2967,1.346e-17,1.063e-17,4.778e-18,0.0,51.84,1,28.540031397174253
1123,BottomS114265,-27.4051,35.3922,1.822e-17,1.416e-17,6.218e-18,-0.001,54.26,1,26.416739319965124
1124,BottomS114284,-27.6093,35.2901,2.077e-17,1.58e-17,6.623e-18,0.001,51.65,1,25.075862068965517
1125,BottomS114296,-27.5913,35.2761,1.739e-17,1.326e-17,5.81e-18,0.001,51.75,1,25.81652939505822
1126,BottomS114309,-27.5865,35.2415,2.138e-17,1.588e-17,6.571e-18,-0.001,51.71,1,26.083213773314206
1127,BottomS114312,-27.4111,35.4402,1.484e-17,1.135e-17,4.674e-18,0.0,54.32,1,26.416739319965124
1128,BottomS114317,-27.5654,35.2236,3.423e-17,2.719e-17,1.23e-17,-0.001,51.73,1,24.272363150867825
1129,BottomS114327,-27.5355,35.2037,3.519e-17,2.744e-17,1.158e-17,0.0,51.92,1,23.470178156467853
1130,BottomS114350,-27.5461,35.4972,9.85e-14,8.134e-14,3.847e-14,-0.0,53.51,1,44.97773379515091
1131,BottomS114359,-27.406,35.1884,7.843e-14,6.827e-14,3.611e-14,-0.0,52.93,1,45.60963371801304
1132,BottomS114360,-27.3886,35.1737,9.078e-14,7.252e-14,3.265e-14,-0.0,52.96,1,44.36310395314788
1133,BottomS114362,-27.3827,35.1858,1.729e-17,1.361e-17,5.773e-18,-0.0,53.0,1,26.26408552441491
1134,BottomS114365,-27.3662,35.1916,1.794e-17,1.382e-17,5.803e-18,-0.0,53.14,1,25.758005100595067
1135,BottomS114368,-27.6358,35.4639,2.548e-17,1.909e-17,7.815e-18,0.0,52.58,1,25.96401028277635
1136,BottomS114409,-27.5159,35.2096,2.05e-17,1.569e-17,6.375e-18,0.0,52.17,1,27.142430576291428
1137,BottomS114419,-27.5099,35.4974,4.212e-17,3.059e-17,1.187e-17,0.001,53.77,1,5.202312138728323
1138,BottomS114425,-27.4564,35.1623,1.464e-17,1.148e-17,5.065e-18,-0.0,52.6,1,27.17488789237668
1139,BottomS114428,-27.5501,35.498,3.808e-17,2.977e-17,1.281e-17,-0.0,53.49,1,23.18286151491966
1140,BottomS114455,-27.6648,35.4286,1.074e-17,8.262e-18,3.605e-18,-0.001,52.34,1,26.173337172473364
1141,BottomS114457,-27.677,35.4291,8.942e-18,7.001e-18,3.021e-18,0.0,52.47,1,27.70496799756172
1142,BottomS114484,-27.152,33.3647,6.009e-14,4.614e-14,1.965e-14,0.001,48.56,1,44.71224790949336
1143,BottomS114569,-27.2975,33.6501,1.172e-13,9.097e-14,3.907e-14,0.0,52.11,1,42.53626579316799
1144,BottomS114630,-27.1679,33.4504,9.016e-14,7.223e-14,3.374e-14,0.0,50.56,1,45.70135746606335
1145,BottomS114898,-27.2033,33.4431,3.54e-17,2.685e-17,1.104e-17,0.001,51.1,1,25.214979195561718
1146,BottomS114979,-27.1872,33.4175,1.869e-17,1.433e-17,5.965e-18,-0.0,49.06,1,26.664711058961572
1147,BottomS114988,-27.1601,33.4393,2.789e-17,2.147e-17,9.349e-18,0.0,50.08,1,23.445963373742583
1148,BottomS115066,-27.1812,33.3486,1.19e-13,9.875e-14,4.901e-14,-0.001,48.44,1,43.513642891335564
1149,BottomS115102,-27.1913,33.4024,8.463e-14,6.391e-14,2.637e-14,0.001,48.91,1,44.104803493449786
1150,BottomS115106,-27.2,33.4054,1.146e-13,9.207e-14,4.33e-14,0.001,49.22,1,43.26511185149929
1151,BottomS115140,-27.1829,33.353,4.346e-17,3.334e-17,1.424e-17,0.0,48.61,1,24.775143090760427
1152,BottomS115151,-27.1566,33.4647,2.146e-17,1.633e-17,7.024e-18,0.001,50.62,1,26.602282704126424
1153,BottomS115161,-27.2753,33.4863,1.039e-17,8.171e-18,3.6e-18,-0.0,51.26,1,26.26408552441491
1154,BottomS115166,-27.28,33.5324,2.328e-17,1.76e-17,7.209e-18,-0.0,51.64,1,27.142430576291428
